 ------- ------------ ---------------------- -------------------- ---------------- --------------- ---------------------- ---------- --------- ------------------------ ------------------------ -------------- -------------------- ------------------------------------------------------------ --------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  annee   numero_lot   lot_emplacement        type_appartement     numero_serie     compteur_type   compteur_emplacement   index_n1   index_n   index_compteur_demonte   index_nouveau_compteur   consommation   etat_code            etat_libelle                                                 forfait   commentaire                                                                                                                                                                
 ------- ------------ ---------------------- -------------------- ---------------- --------------- ---------------------- ---------- --------- ------------------------ ------------------------ -------------- -------------------- ------------------------------------------------------------ --------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  2019    125          6ème (coursive 1)      2 pièces ou studio   09091612         EF              Cuisine                126        126                                                         0.000          supprime             Suppression définitive d'un compteur                         0         PB compteur cuisine - FORFAIT | Suppression des compteurs cuisine, une chambre a été installée dans la cuisine                                                             
  2019    125          6ème (coursive 1)      2 pièces ou studio   95191326         EF              Salle de bain          474        482                                                         8.000          actif                En fonctionnement                                            0         PB compteur cuisine - FORFAIT | Suppression des compteurs cuisine, une chambre a été installée dans la cuisine                                                             
  2019    126          7ème Couloir Gauche    3 pièces             IMP-126-CUI-EC   EC              Cuisine                237        237                                                         0.000          bloque               Compteur bloqué                                              1         OK ??? Peut être PB de relevé ou compteur FORFAIT                                                                                                                          
  2019    126          7ème Couloir Gauche    3 pièces             IMP-126-SAL-EC   EC              Salle de bain          377        385                                                         8.000          actif                En fonctionnement                                            0         OK ??? Peut être PB de relevé ou compteur FORFAIT                                                                                                                          
  2019    126          7ème Couloir Gauche    3 pièces             IMP-126-CUI-EF   EF              Cuisine                338        339                                                         41.000         bloque               Compteur bloqué                                              1         PB probable compteur cuisine | Cuisine EF 1m3= Forfait                                                                                                                     
  2019    126          7ème Couloir Gauche    3 pièces             IMP-126-SAL-EF   EF              Salle de bain          575        596                                                         21.000         actif                En fonctionnement                                            0         PB probable compteur cuisine | Cuisine EF 1m3= Forfait                                                                                                                     
  2019    127          7ème Couloir Face      5 pièces             IMP-127-CUI-EC   EC              Cuisine                151        157                                                         6.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2019    127          7ème Couloir Face      5 pièces             IMP-127-SAL-EC   EC              Salle de bain          437        442                                                         5.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2019    127          7ème Couloir Face      5 pièces             IMP-127-CUI-EF   EF              Cuisine                395        421                                                         26.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2019    127          7ème Couloir Face      5 pièces             IMP-127-SAL-EF   EF              Salle de bain          730        762                                                         32.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2019    128          7ème (coursive 2)      4 pièces             IMP-128-CUI-EC   EC              Cuisine                96         101                                                         5.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2019    128          7ème (coursive 2)      4 pièces             IMP-128-SAL-EC   EC              Salle de bain          23         30                                                          7.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2019    128          7ème (coursive 2)      4 pièces             IMP-128-CUI-EF   EF              Cuisine                131        165                                                         34.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2019    128          7ème (coursive 2)      4 pièces             IMP-128-SAL-EF   EF              Salle de bain          106        137                                                         31.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2019    129          7ème (Coursive 1)      2 pièces ou studio   IMP-129-CUI-EC   EC              Cuisine                0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0         FORFAIT - Pb de compteur ou de relevé                                                                                                                                      
  2019    129          7ème (Coursive 1)      2 pièces ou studio   150602/15        EC              Salle de bain          19         19                                                          35.000         bloque               Compteur bloqué                                              1         FORFAIT - Pb de compteur ou de relevé                                                                                                                                      
  2019    129          7ème (Coursive 1)      2 pièces ou studio   IMP-129-CUI-EF   EF              Cuisine                0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0         Pb relevé compteur cuisine ???-  FORFAIT.                                                                                                                                  
  2019    129          7ème (Coursive 1)      2 pièces ou studio   95191318         EF              Salle de bain          335        358                                                         23.000         actif                En fonctionnement                                            0         Pb relevé compteur cuisine ???-  FORFAIT.                                                                                                                                  
  2020    102          Rdc Bureaux            Bureaux              IMP-102-CUI-EC   EC              Cuisine                0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0                                                                                                                                                                                    
  2020    102          Rdc Bureaux            Bureaux              IMP-102-SAL-EC   EC              Salle de bain          0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0                                                                                                                                                                                    
  2020    102          Rdc Bureaux            Bureaux              IMP-102-CUI-EF   EF              Cuisine                18008      18075                                                       67.000         actif                En fonctionnement                                            0         ok                                                                                                                                                                         
  2020    102          Rdc Bureaux            Bureaux              IMP-102-SAL-EF   EF              Salle de bain          0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0         ok                                                                                                                                                                         
  2020    103          1er Couloir Face       5 pièces             95218906         EC              Cuisine                270        275                                                         5.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    103          1er Couloir Face       5 pièces             95218909         EC              Salle de bain          570        577                                                         7.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    103          1er Couloir Face       5 pièces             95191190         EF              Cuisine                448        457                                                         9.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    103          1er Couloir Face       5 pièces             95191258         EF              Salle de bain          1221       1248                                                        27.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    104          1er (Coursive 2)       4 pièces             IMP-104-CUI-EC   EC              Cuisine                30         30                                                          0.000          bloque               Compteur bloqué                                              1         FORFAIT car cuisine ne tourne pas                                                                                                                                          
  2020    104          1er (Coursive 2)       4 pièces             IMP-104-SAL-EC   EC              Salle de bain          250        275                                                         25.000         actif                En fonctionnement                                            0         FORFAIT car cuisine ne tourne pas                                                                                                                                          
  2020    104          1er (Coursive 2)       4 pièces             IMP-104-CUI-EF   EF              Cuisine                119        143                                                         24.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    104          1er (Coursive 2)       4 pièces             IMP-104-SAL-EF   EF              Salle de bain          566        630                                                         64.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    105          1er (Coursive 1)       2 pièces ou studio   IMP-105-CUI-EC   EC              Cuisine                33         40                                                          7.000          forfait              Index Compteur non communiqué                                1         FORFAIT car données non transmises                                                                                                                                         
  2020    105          1er (Coursive 1)       2 pièces ou studio   IMP-105-SAL-EC   EC              Salle de bain          369        369                                                         35.000         bloque               Compteur bloqué                                              1         FORFAIT car données non transmises                                                                                                                                         
  2020    105          1er (Coursive 1)       2 pièces ou studio   IMP-105-CUI-EF   EF              Cuisine                97         97                                                          0.000          forfait              Index Compteur non communiqué                                1         FORFAIT car données non transmises                                                                                                                                         
  2020    105          1er (Coursive 1)       2 pièces ou studio   IMP-105-SAL-EF   EF              Salle de bain          691        691                                                         0.000          forfait              Index Compteur non communiqué                                1         FORFAIT car données non transmises                                                                                                                                         
  2020    106          2ème Couloir Gauche    3 pièces             IMP-106-CUI-EC   EC              Cuisine                140        140                                                         0.000          bloque               Compteur bloqué                                              1         FORFAIT car cuisine ne tourne pas                                                                                                                                          
  2020    106          2ème Couloir Gauche    3 pièces             IMP-106-SAL-EC   EC              Salle de bain          445        460                                                         15.000         actif                En fonctionnement                                            0         FORFAIT car cuisine ne tourne pas                                                                                                                                          
  2020    106          2ème Couloir Gauche    3 pièces             IMP-106-CUI-EF   EF              Cuisine                212        228                                                         16.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    106          2ème Couloir Gauche    3 pièces             IMP-106-SAL-EF   EF              Salle de bain          935        978                                                         43.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    107          2ème Couloir Face      5 pièces             IMP-107-CUI-EC   EC              Cuisine                48         495       48                                                447.000        actif                En fonctionnement                                            0         FORFAIT car SDB ne tourne pas                                                                                                                                              
  2020    107          2ème Couloir Face      5 pièces             IMP-107-SAL-EC   EC              Salle de bain          333        333       333                                               35.000         bloque               Compteur bloqué                                              1         FORFAIT car SDB ne tourne pas                                                                                                                                              
  2020    107          2ème Couloir Face      5 pièces             IMP-107-CUI-EF   EF              Cuisine                114        147       114                                               33.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    107          2ème Couloir Face      5 pièces             IMP-107-SAL-EF   EF              Salle de bain          161        213       161                                               52.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    108          2ème (Coursive 2)      4 pièces             IMP-108-CUI-EC   EC              Cuisine                54         67                                                          13.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    108          2ème (Coursive 2)      4 pièces             IMP-108-SAL-EC   EC              Salle de bain          117        132                                                         15.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    108          2ème (Coursive 2)      4 pièces             IMP-108-CUI-EF   EF              Cuisine                541        555                                                         14.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    108          2ème (Coursive 2)      4 pièces             IMP-108-SAL-EF   EF              Salle de bain          837        871                                                         34.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    109          2ème (Coursive 1)      2 pièces ou studio   IMP-109-CUI-EC   EC              Cuisine                15         15                                                          0.000          actif                En fonctionnement                                            0         OK (pas de locataire) | Logement inoccupé                                                                                                                                  
  2020    109          2ème (Coursive 1)      2 pièces ou studio   IMP-109-SAL-EC   EC              Salle de bain          43         43                                                          0.000          actif                En fonctionnement                                            0         OK (pas de locataire) | Logement inoccupé                                                                                                                                  
  2020    109          2ème (Coursive 1)      2 pièces ou studio   IMP-109-CUI-EF   EF              Cuisine                20         20                                                          0.000          actif                En fonctionnement                                            0         Pas de locataire. Ok | Logement inoccupé                                                                                                                                   
  2020    109          2ème (Coursive 1)      2 pièces ou studio   IMP-109-SAL-EF   EF              Salle de bain          72         72                                                          0.000          actif                En fonctionnement                                            0         Pas de locataire. Ok | Logement inoccupé                                                                                                                                   
  2020    110          3 ème Couloir Gauche   3 pièces             IMP-110-CUI-EC   EC              Cuisine                35         41                                                          6.000          actif                En fonctionnement                                            0         FORFAIT car SDB ne tourne pas                                                                                                                                              
  2020    110          3 ème Couloir Gauche   3 pièces             IMP-110-SAL-EC   EC              Salle de bain          227        227                                                         35.000         bloque               Compteur bloqué                                              1         FORFAIT car SDB ne tourne pas                                                                                                                                              
  2020    110          3 ème Couloir Gauche   3 pièces             IMP-110-CUI-EF   EF              Cuisine                41         49                                                          8.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    110          3 ème Couloir Gauche   3 pièces             IMP-110-SAL-EF   EF              Salle de bain          1085       1139                                                        54.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    111          3 ème Couloir Face     5 pièces             IMP-111-CUI-EC   EC              Cuisine                126        135                                                         9.000          actif                En fonctionnement                                            0         ok                                                                                                                                                                         
  2020    111          3 ème Couloir Face     5 pièces             IMP-111-SAL-EC   EC              Salle de bain          271        273                                                         2.000          bloque               Compteur bloqué                                              0         ok                                                                                                                                                                         
  2020    111          3 ème Couloir Face     5 pièces             IMP-111-CUI-EF   EF              Cuisine                624        643                                                         19.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    111          3 ème Couloir Face     5 pièces             IMP-111-SAL-EF   EF              Salle de bain          705        733                                                         28.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    112          3ème (coursive 2)      4 pièces             IMP-112-CUI-EC   EC              Cuisine                376        384                                                         8.000          actif                En fonctionnement                                            0         Compteur SDB bloqué (en cours de remplacement)                                                                                                                             
  2020    112          3ème (coursive 2)      4 pièces             IMP-112-SAL-EC   EC              Salle de bain          925        925                                                         22.000         actif                En fonctionnement                                            1         Compteur SDB bloqué (en cours de remplacement)                                                                                                                             
  2020    112          3ème (coursive 2)      4 pièces             IMP-112-CUI-EF   EF              Cuisine                716        747                                                         31.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    112          3ème (coursive 2)      4 pièces             IMP-112-SAL-EF   EF              Salle de bain          1058       1097                                                        39.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    113          3ème (Coursive 1)      2 pièces ou studio   IMP-113-CUI-EC   EC              Cuisine                0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0         OK ???? Peut être PB sur le relevé ?                                                                                                                                       
  2020    113          3ème (Coursive 1)      2 pièces ou studio   IMP-113-SAL-EC   EC              Salle de bain          15         16                                                          1.000          actif                En fonctionnement                                            0         OK ???? Peut être PB sur le relevé ?                                                                                                                                       
  2020    113          3ème (Coursive 1)      2 pièces ou studio   IMP-113-CUI-EF   EF              Cuisine                0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0         FORFAIT car données non transmises                                                                                                                                         
  2020    113          3ème (Coursive 1)      2 pièces ou studio   IMP-113-SAL-EF   EF              Salle de bain          349        359                                                         10.000         actif                En fonctionnement                                            0         FORFAIT car données non transmises                                                                                                                                         
  2020    114          4ème Couloir Gauche    3 pièces             IMP-114-CUI-EC   EC              Cuisine                171        175                                                         4.000          actif                En fonctionnement                                            0         PB de compteur ????                                                                                                                                                        
  2020    114          4ème Couloir Gauche    3 pièces             IMP-114-SAL-EC   EC              Salle de bain          304        306                                                         37.000         bloque               Compteur bloqué                                              1         PB de compteur ????                                                                                                                                                        
  2020    114          4ème Couloir Gauche    3 pièces             IMP-114-CUI-EF   EF              Cuisine                247        258                                                         11.000         actif                En fonctionnement                                            0         ok                                                                                                                                                                         
  2020    114          4ème Couloir Gauche    3 pièces             IMP-114-SAL-EF   EF              Salle de bain          660        702                                                         42.000         actif                En fonctionnement                                            0         ok                                                                                                                                                                         
  2020    115          4ème Couloir Face      5 pièces             IMP-115-CUI-EC   EC              Cuisine                23         23                                                          0.000          forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2020    115          4ème Couloir Face      5 pièces             IMP-115-SAL-EC   EC              Salle de bain          149        149                                                         35.000         forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2020    115          4ème Couloir Face      5 pièces             IMP-115-CUI-EF   EF              Cuisine                82         82                                                          40.000         forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2020    115          4ème Couloir Face      5 pièces             IMP-115-SAL-EF   EF              Salle de bain          2          2                                                           0.000          forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2020    116          4ème (Coursive 2)      4 pièces             IMP-116-CUI-EC   EC              Cuisine                333        342                                                         9.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    116          4ème (Coursive 2)      4 pièces             IMP-116-SAL-EC   EC              Salle de bain          328        339                                                         11.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    116          4ème (Coursive 2)      4 pièces             IMP-116-CUI-EF   EF              Cuisine                560        576                                                         16.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    116          4ème (Coursive 2)      4 pièces             IMP-116-SAL-EF   EF              Salle de bain          710        732                                                         22.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    117          4ème (Cousive 1)       2 pièces             IMP-117-CUI-EC   EC              Cuisine                250        253                                                         3.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    117          4ème (Cousive 1)       2 pièces             IMP-117-SAL-EC   EC              Salle de bain          6          10                                                          4.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    117          4ème (Cousive 1)       2 pièces             IMP-117-CUI-EF   EF              Cuisine                448        471                                                         23.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    117          4ème (Cousive 1)       2 pièces             IMP-117-SAL-EF   EF              Salle de bain          769        769                                                         0.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    118          5ème Couloir Gauche    3 pièces             IMP-118-CUI-EC   EC              Cuisine                117        117                                                         0.000          forfait              Index Compteur non communiqué                                1         FORFAIT pas de relevé                                                                                                                                                      
  2020    118          5ème Couloir Gauche    3 pièces             IMP-118-SAL-EC   EC              Salle de bain          256        256                                                         35.000         forfait              Index Compteur non communiqué                                1         FORFAIT pas de relevé                                                                                                                                                      
  2020    118          5ème Couloir Gauche    3 pièces             IMP-118-CUI-EF   EF              Cuisine                608        608                                                         40.000         forfait              Index Compteur non communiqué                                1         FORFAIT car pas de relevés                                                                                                                                                 
  2020    118          5ème Couloir Gauche    3 pièces             IMP-118-SAL-EF   EF              Salle de bain          680        680                                                         0.000          forfait              Index Compteur non communiqué                                1         FORFAIT car pas de relevés                                                                                                                                                 
  2020    119          5ème Couloir Face      5 pièces             94246918         EC              Cuisine                384        384                                                         0.000          inoccupe             Appartement inoccupé                                         0         Appartement inoccupé                                                                                                                                                       
  2020    119          5ème Couloir Face      5 pièces             94246692         EC              Salle de bain          4          4                                                           0.000          inoccupe             Appartement inoccupé                                         0         Appartement inoccupé                                                                                                                                                       
  2020    119          5ème Couloir Face      5 pièces             95191126         EF              Cuisine                602        602                                                         0.000          inoccupe             Appartement inoccupé                                         0         Appartement inoccupé                                                                                                                                                       
  2020    119          5ème Couloir Face      5 pièces             95191198         EF              Salle de bain          292        292                                                         0.000          inoccupe             Appartement inoccupé                                         0         Appartement inoccupé                                                                                                                                                       
  2020    120          5ème (coursive 2)      4 pièces             IMP-120-CUI-EC   EC              Cuisine                211        226                                                         15.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    120          5ème (coursive 2)      4 pièces             IMP-120-SAL-EC   EC              Salle de bain          655        701                                                         46.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    120          5ème (coursive 2)      4 pièces             IMP-120-CUI-EF   EF              Cuisine                533        552                                                         19.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    120          5ème (coursive 2)      4 pièces             IMP-120-SAL-EF   EF              Salle de bain          897        944                                                         47.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2020    121          5ème (coursive 1)      2 pièces ou studio   IMP-121-CUI-EC   EC              Cuisine                32         45                                                          13.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
