 ------- ------------ ---------------------- -------------------- ---------------- --------------- ---------------------- ---------- --------- ------------------------ ------------------------ -------------- -------------------- ------------------------------------------------------------ --------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  annee   numero_lot   lot_emplacement        type_appartement     numero_serie     compteur_type   compteur_emplacement   index_n1   index_n   index_compteur_demonte   index_nouveau_compteur   consommation   etat_code            etat_libelle                                                 forfait   commentaire                                                                                                                                                                
 ------- ------------ ---------------------- -------------------- ---------------- --------------- ---------------------- ---------- --------- ------------------------ ------------------------ -------------- -------------------- ------------------------------------------------------------ --------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  2018    109          2ème (Coursive 1)      2 pièces ou studio   IMP-109-SAL-EF   EF              Salle de bain          70         70                                                          0.000          forfait              Index Compteur non communiqué                                1         FORFAIT car données non transmises | Logement inoccupé                                                                                                                     
  2018    110          3 ème Couloir Gauche   3 pièces             IMP-110-CUI-EC   EC              Cuisine                19         30                                                          11.000         actif                En fonctionnement                                            0         FORFAIT car SDB ne tourne pas                                                                                                                                              
  2018    110          3 ème Couloir Gauche   3 pièces             IMP-110-SAL-EC   EC              Salle de bain          227        227                                                         35.000         bloque               Compteur bloqué                                              1         FORFAIT car SDB ne tourne pas                                                                                                                                              
  2018    110          3 ème Couloir Gauche   3 pièces             IMP-110-CUI-EF   EF              Cuisine                22         33                                                          11.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    110          3 ème Couloir Gauche   3 pièces             IMP-110-SAL-EF   EF              Salle de bain          973        1031                                                        58.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    111          3 ème Couloir Face     5 pièces             IMP-111-CUI-EC   EC              Cuisine                114        114                                                         0.000          forfait              Index Compteur non communiqué                                1         FORFAIT car SDB + cuisine tourne pas                                                                                                                                       
  2018    111          3 ème Couloir Face     5 pièces             IMP-111-SAL-EC   EC              Salle de bain          256        256                                                         0.000          forfait              Index Compteur non communiqué                                1         FORFAIT car SDB + cuisine tourne pas                                                                                                                                       
  2018    111          3 ème Couloir Face     5 pièces             IMP-111-CUI-EF   EF              Cuisine                587        587                                                         0.000          forfait              Index Compteur non communiqué                                1         FORFAIT car données non transmises                                                                                                                                         
  2018    111          3 ème Couloir Face     5 pièces             IMP-111-SAL-EF   EF              Salle de bain          667        667                                                         0.000          forfait              Index Compteur non communiqué                                1         FORFAIT car données non transmises                                                                                                                                         
  2018    112          3ème (coursive 2)      4 pièces             IMP-112-CUI-EC   EC              Cuisine                352        367                                                         15.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    112          3ème (coursive 2)      4 pièces             IMP-112-SAL-EC   EC              Salle de bain          882        907                                                         25.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    112          3ème (coursive 2)      4 pièces             IMP-112-CUI-EF   EF              Cuisine                655        682                                                         27.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    112          3ème (coursive 2)      4 pièces             IMP-112-SAL-EF   EF              Salle de bain          976        1022                                                        46.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    113          3ème (Coursive 1)      2 pièces ou studio   IMP-113-CUI-EC   EC              Cuisine                0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0         OK                                                                                                                                                                         
  2018    113          3ème (Coursive 1)      2 pièces ou studio   IMP-113-SAL-EC   EC              Salle de bain          10         12                                                          2.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    113          3ème (Coursive 1)      2 pièces ou studio   IMP-113-CUI-EF   EF              Cuisine                0          0                                                           0.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    113          3ème (Coursive 1)      2 pièces ou studio   IMP-113-SAL-EF   EF              Salle de bain          322        335                                                         13.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    114          4ème Couloir Gauche    3 pièces             IMP-114-CUI-EC   EC              Cuisine                162        171                                                         9.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    114          4ème Couloir Gauche    3 pièces             IMP-114-SAL-EC   EC              Salle de bain          299        304                                                         5.000          bloque               Compteur bloqué                                              0         OK                                                                                                                                                                         
  2018    114          4ème Couloir Gauche    3 pièces             IMP-114-CUI-EF   EF              Cuisine                214        247                                                         33.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    114          4ème Couloir Gauche    3 pièces             IMP-114-SAL-EF   EF              Salle de bain          660        660                                                         0.000          actif                En fonctionnement                                            1         OK                                                                                                                                                                         
  2018    115          4ème Couloir Face      5 pièces             IMP-115-CUI-EC   EC              Cuisine                23         23                                                          0.000          forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2018    115          4ème Couloir Face      5 pièces             IMP-115-SAL-EC   EC              Salle de bain          149        149                                                         35.000         forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2018    115          4ème Couloir Face      5 pièces             IMP-115-CUI-EF   EF              Cuisine                82         82                                                          40.000         forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2018    115          4ème Couloir Face      5 pièces             IMP-115-SAL-EF   EF              Salle de bain          2          2                                                           0.000          forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2018    116          4ème (Coursive 2)      4 pièces             IMP-116-CUI-EC   EC              Cuisine                313        324                                                         11.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    116          4ème (Coursive 2)      4 pièces             IMP-116-SAL-EC   EC              Salle de bain          300        314                                                         14.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    116          4ème (Coursive 2)      4 pièces             IMP-116-CUI-EF   EF              Cuisine                519        541                                                         22.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    116          4ème (Coursive 2)      4 pièces             IMP-116-SAL-EF   EF              Salle de bain          662        687                                                         25.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    117          4ème (Cousive 1)       2 pièces             IMP-117-CUI-EC   EC              Cuisine                238        244                                                         6.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    117          4ème (Cousive 1)       2 pièces             IMP-117-SAL-EC   EC              Salle de bain          0          3         0                        3                        3.000          remplace             Nouveau Compteur                                             0         OK                                                                                                                                                                         
  2018    117          4ème (Cousive 1)       2 pièces             IMP-117-CUI-EF   EF              Cuisine                396        425                                                         29.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    117          4ème (Cousive 1)       2 pièces             IMP-117-SAL-EF   EF              Salle de bain          737        760                                                         23.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    118          5ème Couloir Gauche    3 pièces             IMP-118-CUI-EC   EC              Cuisine                190        117                                                         0.000          actif                En fonctionnement                                            0         PB compteur cuisine et sdb (le proporiétaire à confirmé ces relevés)                                                                                                       
  2018    118          5ème Couloir Gauche    3 pièces             IMP-118-SAL-EC   EC              Salle de bain          275        256                                                         -19.000        forfait              Index Compteur non communiqué                                1         PB compteur cuisine et sdb (le proporiétaire à confirmé ces relevés)                                                                                                       
  2018    118          5ème Couloir Gauche    3 pièces             IMP-118-CUI-EF   EF              Cuisine                472        608                                                         136.000        actif                En fonctionnement                                            0         PB (le proporiétaire à confirmé ces relevés)                                                                                                                               
  2018    118          5ème Couloir Gauche    3 pièces             IMP-118-SAL-EF   EF              Salle de bain          880        680                                                         0.000          actif                En fonctionnement                                            0         PB (le proporiétaire à confirmé ces relevés)                                                                                                                               
  2018    119          5ème Couloir Face      5 pièces             94246918         EC              Cuisine                384        384                                                         0.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    119          5ème Couloir Face      5 pièces             94246692         EC              Salle de bain          3          4                                                           1.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    119          5ème Couloir Face      5 pièces             95191126         EF              Cuisine                577        602                                                         25.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    119          5ème Couloir Face      5 pièces             95191198         EF              Salle de bain          287        292                                                         5.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    120          5ème (coursive 2)      4 pièces             IMP-120-CUI-EC   EC              Cuisine                185        199                                                         14.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    120          5ème (coursive 2)      4 pièces             IMP-120-SAL-EC   EC              Salle de bain          572        612                                                         40.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    120          5ème (coursive 2)      4 pièces             IMP-120-CUI-EF   EF              Cuisine                494        514                                                         20.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
